,row_id,site,audio_id,seconds,birds,class,predictions
120,7954_COR_5,COR,7954,5,background,other,0.5142137
121,7954_COR_10,COR,7954,10,background,other,0.54322773
122,7954_COR_15,COR,7954,15,background,other,0.5225275
123,7954_COR_20,COR,7954,20,background,other,0.52618617
124,7954_COR_25,COR,7954,25,background,other,0.5273441
125,7954_COR_30,COR,7954,30,background,other,0.5275315
126,7954_COR_35,COR,7954,35,background,other,0.5237067
127,7954_COR_40,COR,7954,40,background,other,0.5252218
128,7954_COR_45,COR,7954,45,background,other,0.5299561
129,7954_COR_50,COR,7954,50,background,other,0.5365505
130,7954_COR_55,COR,7954,55,background,other,0.53256106
131,7954_COR_60,COR,7954,60,background,other,0.52596855
132,7954_COR_65,COR,7954,65,background,other,0.52920353
133,7954_COR_70,COR,7954,70,background,other,0.5213395
134,7954_COR_75,COR,7954,75,background,other,0.52199113
135,7954_COR_80,COR,7954,80,background,other,0.51917297
136,7954_COR_85,COR,7954,85,background,other,0.5164032
137,7954_COR_90,COR,7954,90,background,other,0.52601916
138,7954_COR_95,COR,7954,95,background,other,0.52926075
139,7954_COR_100,COR,7954,100,background,other,0.51806897
140,7954_COR_105,COR,7954,105,background,other,0.52489847
141,7954_COR_110,COR,7954,110,background,other,0.5142396
142,7954_COR_115,COR,7954,115,background,other,0.5210611
143,7954_COR_120,COR,7954,120,background,other,0.5239316
144,7954_COR_125,COR,7954,125,background,other,0.51503277
145,7954_COR_130,COR,7954,130,background,other,0.5223221
146,7954_COR_135,COR,7954,135,background,other,0.517855
147,7954_COR_140,COR,7954,140,background,other,0.5309871
148,7954_COR_145,COR,7954,145,background,other,0.5182348
149,7954_COR_150,COR,7954,150,background,other,0.53568107
150,7954_COR_155,COR,7954,155,background,other,0.5273811
151,7954_COR_160,COR,7954,160,background,other,0.53257215
152,7954_COR_165,COR,7954,165,background,other,0.5279202
153,7954_COR_170,COR,7954,170,background,other,0.52827156
154,7954_COR_175,COR,7954,175,background,other,0.5158337
155,7954_COR_180,COR,7954,180,background,other,0.5173239
156,7954_COR_185,COR,7954,185,background,other,0.5136163
157,7954_COR_190,COR,7954,190,background,other,0.50706047
158,7954_COR_195,COR,7954,195,background,other,0.5156766
159,7954_COR_200,COR,7954,200,background,other,0.5163493
160,7954_COR_205,COR,7954,205,background,other,0.5155704
