,row_id,site,audio_id,seconds,birds,class,predictions
2280,54955_SSW_5,SSW,54955,5,background,other,0.5450935
2281,54955_SSW_10,SSW,54955,10,background,other,0.5340336
2282,54955_SSW_15,SSW,54955,15,background,other,0.5573264
2283,54955_SSW_20,SSW,54955,20,background,other,0.5307292
2284,54955_SSW_25,SSW,54955,25,background,other,0.5514485
2285,54955_SSW_30,SSW,54955,30,background,other,0.55939436
2286,54955_SSW_35,SSW,54955,35,background,other,0.5435107
2287,54955_SSW_40,SSW,54955,40,background,other,0.5476814
2288,54955_SSW_45,SSW,54955,45,background,other,0.5366878
2289,54955_SSW_50,SSW,54955,50,background,other,0.5437707
2290,54955_SSW_55,SSW,54955,55,background,other,0.543317
2291,54955_SSW_60,SSW,54955,60,background,other,0.533262
2292,54955_SSW_65,SSW,54955,65,background,other,0.54243445
2293,54955_SSW_70,SSW,54955,70,background,other,0.5338635
2294,54955_SSW_75,SSW,54955,75,background,other,0.5369856
2295,54955_SSW_80,SSW,54955,80,background,other,0.54818934
2296,54955_SSW_85,SSW,54955,85,background,other,0.5336091
2297,54955_SSW_90,SSW,54955,90,background,other,0.5574163
2298,54955_SSW_95,SSW,54955,95,background,other,0.5408356
2299,54955_SSW_100,SSW,54955,100,background,other,0.54141074
2300,54955_SSW_105,SSW,54955,105,background,other,0.55757964
2301,54955_SSW_110,SSW,54955,110,background,other,0.5579965
2302,54955_SSW_115,SSW,54955,115,background,other,0.5559701
2303,54955_SSW_120,SSW,54955,120,background,other,0.5270505
2304,54955_SSW_125,SSW,54955,125,background,other,0.5367872
2305,54955_SSW_130,SSW,54955,130,background,other,0.5418594
2306,54955_SSW_135,SSW,54955,135,background,other,0.56325644
2307,54955_SSW_140,SSW,54955,140,background,other,0.5693734
2308,54955_SSW_145,SSW,54955,145,background,other,0.564833
2309,54955_SSW_150,SSW,54955,150,background,other,0.54890436
2310,54955_SSW_155,SSW,54955,155,background,other,0.54793555
2311,54955_SSW_160,SSW,54955,160,background,other,0.5535255
2312,54955_SSW_165,SSW,54955,165,background,other,0.5628492
2313,54955_SSW_170,SSW,54955,170,background,other,0.54538
2314,54955_SSW_175,SSW,54955,175,background,other,0.54250085
2315,54955_SSW_180,SSW,54955,180,background,other,0.5482232
2316,54955_SSW_185,SSW,54955,185,background,other,0.5509849
2317,54955_SSW_190,SSW,54955,190,background,other,0.54699516
2318,54955_SSW_195,SSW,54955,195,background,other,0.5514541
2319,54955_SSW_200,SSW,54955,200,background,other,0.5377027
2320,54955_SSW_205,SSW,54955,205,background,other,0.5432879
2321,54955_SSW_210,SSW,54955,210,background,other,0.5449499
2322,54955_SSW_215,SSW,54955,215,background,other,0.5394176
2323,54955_SSW_220,SSW,54955,220,background,other,0.537811
2324,54955_SSW_225,SSW,54955,225,background,other,0.54596686
2325,54955_SSW_230,SSW,54955,230,background,other,0.53039074
2326,54955_SSW_235,SSW,54955,235,background,other,0.53765154
2327,54955_SSW_240,SSW,54955,240,background,other,0.5512759
2328,54955_SSW_245,SSW,54955,245,background,other,0.5392857
2329,54955_SSW_250,SSW,54955,250,background,other,0.5553218
2330,54955_SSW_255,SSW,54955,255,background,other,0.5476394
2331,54955_SSW_260,SSW,54955,260,background,other,0.5478601
2332,54955_SSW_265,SSW,54955,265,background,other,0.54853123
2333,54955_SSW_270,SSW,54955,270,background,other,0.557802
2334,54955_SSW_275,SSW,54955,275,background,other,0.56423056
2335,54955_SSW_280,SSW,54955,280,background,other,0.54306567
2336,54955_SSW_285,SSW,54955,285,background,other,0.5573058
2337,54955_SSW_290,SSW,54955,290,background,other,0.57400423
2338,54955_SSW_295,SSW,54955,295,background,other,0.5449946
2339,54955_SSW_300,SSW,54955,300,background,other,0.5309843
2340,54955_SSW_305,SSW,54955,305,background,other,0.54998565
2341,54955_SSW_310,SSW,54955,310,chswar,other,0.5527878
2342,54955_SSW_315,SSW,54955,315,background,other,0.5574618
2343,54955_SSW_320,SSW,54955,320,chswar,other,0.55091363
2344,54955_SSW_325,SSW,54955,325,background,other,0.5584578
2345,54955_SSW_330,SSW,54955,330,chswar,other,0.54065657
2346,54955_SSW_335,SSW,54955,335,chswar,other,0.5452221
2347,54955_SSW_340,SSW,54955,340,background,other,0.55558515
2348,54955_SSW_345,SSW,54955,345,background,other,0.5507053
2349,54955_SSW_350,SSW,54955,350,background,other,0.5511114
2350,54955_SSW_355,SSW,54955,355,background,other,0.5457548
2351,54955_SSW_360,SSW,54955,360,background,other,0.5511639
2352,54955_SSW_365,SSW,54955,365,background,other,0.5448592
2353,54955_SSW_370,SSW,54955,370,background,other,0.55058455
2354,54955_SSW_375,SSW,54955,375,background,other,0.5440481
2355,54955_SSW_380,SSW,54955,380,background,other,0.54166824
2356,54955_SSW_385,SSW,54955,385,background,other,0.5644805
2357,54955_SSW_390,SSW,54955,390,background,other,0.5287776
2358,54955_SSW_395,SSW,54955,395,grycat,other,0.5381416
2359,54955_SSW_400,SSW,54955,400,background,other,0.5295231
2360,54955_SSW_405,SSW,54955,405,background,other,0.5609699
2361,54955_SSW_410,SSW,54955,410,background,other,0.5304334
2362,54955_SSW_415,SSW,54955,415,background,other,0.54738104
2363,54955_SSW_420,SSW,54955,420,background,other,0.5375644
2364,54955_SSW_425,SSW,54955,425,background,other,0.54666966
2365,54955_SSW_430,SSW,54955,430,background,other,0.5518541
2366,54955_SSW_435,SSW,54955,435,background,other,0.5596913
2367,54955_SSW_440,SSW,54955,440,background,other,0.54748243
2368,54955_SSW_445,SSW,54955,445,background,other,0.54735166
2369,54955_SSW_450,SSW,54955,450,background,other,0.551056
2370,54955_SSW_455,SSW,54955,455,background,other,0.53984094
2371,54955_SSW_460,SSW,54955,460,chswar,other,0.5468709
2372,54955_SSW_465,SSW,54955,465,background,other,0.5608749
2373,54955_SSW_470,SSW,54955,470,background,other,0.53367895
2374,54955_SSW_475,SSW,54955,475,background,other,0.53893083
2375,54955_SSW_480,SSW,54955,480,ovenbi1,other,0.53953123
2376,54955_SSW_485,SSW,54955,485,background,other,0.5458783
2377,54955_SSW_490,SSW,54955,490,background,other,0.55706334
2378,54955_SSW_495,SSW,54955,495,chswar ovenbi1,other,0.5420892
2379,54955_SSW_500,SSW,54955,500,chswar,other,0.55442923
2380,54955_SSW_505,SSW,54955,505,background,other,0.553076
2381,54955_SSW_510,SSW,54955,510,chswar,other,0.54850376
2382,54955_SSW_515,SSW,54955,515,background,other,0.5372683
2383,54955_SSW_520,SSW,54955,520,chswar,other,0.56973916
2384,54955_SSW_525,SSW,54955,525,chswar,other,0.54742754
2385,54955_SSW_530,SSW,54955,530,background,other,0.5524934
2386,54955_SSW_535,SSW,54955,535,chswar,other,0.5522765
2387,54955_SSW_540,SSW,54955,540,background,other,0.5384068
2388,54955_SSW_545,SSW,54955,545,chswar,other,0.558766
2389,54955_SSW_550,SSW,54955,550,background,other,0.54464805
2390,54955_SSW_555,SSW,54955,555,chswar,other,0.5484935
2391,54955_SSW_560,SSW,54955,560,grycat,other,0.5506428
2392,54955_SSW_565,SSW,54955,565,background,other,0.556045
2393,54955_SSW_570,SSW,54955,570,grycat,other,0.5659418
2394,54955_SSW_575,SSW,54955,575,chswar,other,0.54265434
2395,54955_SSW_580,SSW,54955,580,background,other,0.5527318
2396,54955_SSW_585,SSW,54955,585,grycat,other,0.5424163
2397,54955_SSW_590,SSW,54955,590,grycat,other,0.5513745
2398,54955_SSW_595,SSW,54955,595,background,other,0.5589442
2399,54955_SSW_600,SSW,54955,600,background,other,0.54289
