,row_id,site,audio_id,seconds,birds,class,predictions
1200,2782_SSW_5,SSW,2782,5,bkcchi grycat reevir1,other,0.21612552
1201,2782_SSW_10,SSW,2782,10,eawpew grycat reevir1,other,0.35834858
1202,2782_SSW_15,SSW,2782,15,bkcchi eawpew grycat reevir1,other,0.29546374
1203,2782_SSW_20,SSW,2782,20,eawpew grycat reevir1,other,0.111123614
1204,2782_SSW_25,SSW,2782,25,eawpew grycat reevir1,other,0.32347986
1205,2782_SSW_30,SSW,2782,30,bkcchi reevir1,other,0.15561734
1206,2782_SSW_35,SSW,2782,35,eawpew grycat reevir1,other,0.11120406
1207,2782_SSW_40,SSW,2782,40,bkcchi eawpew grycat reevir1,other,0.14318393
1208,2782_SSW_45,SSW,2782,45,eawpew reevir1,other,0.15756485
1209,2782_SSW_50,SSW,2782,50,bkcchi eawpew reevir1,other,0.33053875
1210,2782_SSW_55,SSW,2782,55,bkcchi eawpew reevir1,other,0.34534565
1211,2782_SSW_60,SSW,2782,60,bkcchi eawpew reevir1,other,0.1494892
1212,2782_SSW_65,SSW,2782,65,bkcchi eawpew reevir1,other,0.15049456
1213,2782_SSW_70,SSW,2782,70,eawpew reevir1,other,0.16826735
1214,2782_SSW_75,SSW,2782,75,bkcchi eawpew grycat reevir1,other,0.14722314
1215,2782_SSW_80,SSW,2782,80,eawpew grycat reevir1,other,0.27737573
1216,2782_SSW_85,SSW,2782,85,grycat reevir1,other,0.18992434
1217,2782_SSW_90,SSW,2782,90,eawpew grycat reevir1,other,0.16406621
1218,2782_SSW_95,SSW,2782,95,eawpew grycat reevir1,other,0.14270182
1219,2782_SSW_100,SSW,2782,100,bkcchi reevir1,other,0.14052434
1220,2782_SSW_105,SSW,2782,105,eawpew reevir1,other,0.16055188
1221,2782_SSW_110,SSW,2782,110,bkcchi eawpew reevir1,other,0.15159056
1222,2782_SSW_115,SSW,2782,115,eawpew reevir1,other,0.15539365
1223,2782_SSW_120,SSW,2782,120,reevir1,other,0.29281005
1224,2782_SSW_125,SSW,2782,125,bkcchi eawpew reevir1,other,0.15576321
1225,2782_SSW_130,SSW,2782,130,grycat reevir1,other,0.12910135
1226,2782_SSW_135,SSW,2782,135,eawpew grycat reevir1,other,0.14397813
1227,2782_SSW_140,SSW,2782,140,eawpew grycat reevir1,other,0.13954988
1228,2782_SSW_145,SSW,2782,145,eawpew reevir1,other,0.17714946
1229,2782_SSW_150,SSW,2782,150,reevir1,other,0.17317258
1230,2782_SSW_155,SSW,2782,155,eawpew reevir1,other,0.15696648
1231,2782_SSW_160,SSW,2782,160,eawpew reevir1,other,0.16217689
1232,2782_SSW_165,SSW,2782,165,reevir1,other,0.17183235
1233,2782_SSW_170,SSW,2782,170,eawpew reevir1,other,0.2728654
1234,2782_SSW_175,SSW,2782,175,eawpew reevir1,other,0.2150888
1235,2782_SSW_180,SSW,2782,180,reevir1,other,0.22971798
1236,2782_SSW_185,SSW,2782,185,eawpew grycat reevir1,other,0.19332197
1237,2782_SSW_190,SSW,2782,190,eawpew grycat reevir1,other,0.14862299
1238,2782_SSW_195,SSW,2782,195,grycat reevir1,other,0.12423514
